bucket,brand,external_key,style_name,colorways,fronts,sides,backs,unique_photos,unique_fronts,model_photos,flat_photos,missing_front_colors,hero_front_file,hero_side_file,hero_back_file,style_image_file,on_model_front_file,slug,id
no_photos,ATC Accessories,A1080,Twill Blend Full Length Apron,9,0,0,0,0,0,0,0,Black; Clay; Coal Grey; Coffee; Military; Navy; Red; Royal; White,,,,,,sanmar-a1080-53850202-black-efas3o,95a3b14c-9abf-4e54-bb2f-bdbfc5e4f0fe
no_photos,ATC Accessories,A1081,Twill Blend Waist Length Apron,1,0,0,0,0,0,0,0,Black,,,,,,sanmar-a1081-1807295979-black-2ai1q1,9a9e342c-96ce-4547-8c43-7015d52b624a
every_colour_has_front,ATC Accessories,ATCHBAND,Performance Headband,3,3,0,0,3,3,0,0,,atchband_flat-front_black_2025_cil.jpg,,,atchband_flat-front_black_2025_cil.jpg,,sanmar-atchband-1634815161-black-dezjtt,a673e051-557b-4120-9817-417e0563ca13
every_colour_has_front,ATC Accessories,ATCWBAND,Performance Wristband,3,3,0,0,3,3,0,0,,atcwband_flat-front_black_2025_cil.jpg,,,atcwband_model_web.jpg,,sanmar-atcwband-264425475-black-f6j7lj,3ce860d8-9d34-442f-85c8-f459af9b68a7
every_colour_has_front,ATC Accessories,B1029,Retro Backpack,4,4,4,0,8,4,0,0,,b1029_black_front.jpg,b1029_black_side.jpg,,b1029_black_front.jpg,,sanmar-b1029-1767874391-black-t15tg6,4de2c0cd-fa07-4089-ad85-7618e4c82514
every_colour_has_front,ATC Accessories,B1033,Retro Barrel Duffel,4,4,0,0,4,4,0,4,,b1033_flat_angle_black_2016_1.jpg,,,b1033_flat_front_darkgrey_2016.jpg,,sanmar-b1033-547183138-black-hu9ffb,14953b4a-738f-4f36-bb2f-33068a5a5eb0
every_colour_has_front,ATC Accessories,B110,Everyday Essential Tote,13,13,0,0,13,13,0,0,,b110_form-front_athletic-gold_2026_cil.jpg,,,l3517_raspberryheather_b110_black_modl_c2016.jpg,,sanmar-b110-12251756-athletic-gold-57x7b5,3fa7e3f3-ff15-4621-878a-6ae8827aa2b7
most_colours_have_front,ATC Accessories,B120,Everyday Cinch Pack,10,9,0,0,9,9,0,4,Lime,b120_athleticgold.jpg,,,b120_gold_modl_studio-1-2019.jpg,,sanmar-b120-392941079-athletic-gold-af7se4,56925c89-1062-471d-b5c6-88b486bedc1c
every_colour_has_front,ATC Earth Wash,ATC6015,Everyday Earth Wash L/S Tee,6,6,6,0,12,6,0,0,,atc6015_form-angle_black_2024_cil.jpg,atc6015_form-side_black_2024_cil.jpg,,atc6015_modl_pewter_crop_2024_cil.jpg,,sanmar-atc6015-785989518-black-ow4yk4,6028e4d5-dcd9-417c-8a71-078182039df8
every_colour_has_front,ATC Earth Wash,ATC6040,Everyday Earth Wash Tee,14,14,14,0,28,14,0,0,,atc6040_form-angle_black_2024_cil.jpg,atc6040_form-side_black_2024_cil.jpg,,atc6040_form-angle_black_2024_cil.jpg,,sanmar-atc6040-368965882-black-6sg91c,64db9522-5b98-4b58-b6b7-24749a4beda2
every_colour_has_front,ATC Earth Wash,ATC6040L,Everyday Earth Wash Ladies Tee,11,11,11,0,22,11,0,0,,atc6040l_form-angle_black_2024_cil.jpg,atc6040l_form-side_black_2024_cil.jpg,,atc6040l_form-angle_black_2024_cil.jpg,,sanmar-atc6040l-922323195-black-t1nanq,b89bf615-7773-4da7-b28f-f901cb78140c
every_colour_has_front,ATC Earth Wash,ATC6040Y,Everyday Earth Wash Youth Tee,11,11,10,0,21,11,0,0,,atc6040y_form-angle_black_2024_cil.jpg,atc6040y_form-side_black_2024_cil.jpg,,atc6040y_form-angle_black_2024_cil.jpg,,sanmar-atc6040y-212860219-black-pilzyn,0cd371f9-90c8-4cd5-8f5f-09ca2da4b20f
every_colour_has_front,ATC Earth Wash,ATCF6400,Everyday Earth Wash Crewneck,8,8,8,0,16,8,0,0,,atcf6400_form-angle_black_2025_cil.jpg,atcf6400_form-side_black_2025_cil.jpg,,atcf6400_modl_sand_studio-crop_2024_cil.jpg,,sanmar-atcf6400-459604382-black-ljo3xm,8e385fd3-cc9a-4a13-9845-3795c5ba3c40
every_colour_has_front,ATC Earth Wash,ATCF6500,Everyday Earth Wash Hood,11,11,11,0,22,11,0,0,,atcf6500_form-angle_black_2025_cil.jpg,atcf6500_form-side_black_2025_cil.jpg,,atcf6500_modl_navy_studio-crop_2024_cil.jpg,,sanmar-atcf6500-794580562-black-ao7wqe,81e75118-81c2-46fe-abd0-65f6508dbb11
every_colour_has_front,ATC Earth Wash,ATCY6500,Everyday Earthwash Youth Hood,6,6,6,0,12,6,0,0,,atcy6500_form-angle_earth-black_2025_cil.jpg,atcy6500_form-side_earth-black_2025_cil.jpg,,atcy6500_modl_earth-navy_crop_2025_cil.jpg,,sanmar-atcy6500-1691521485-black-gxkzst,19c2aeda-343c-4469-b243-ca05017aaa05
every_colour_has_front,ATC Essentials,ATC3700,Essential Performance Tee,10,10,10,0,20,10,0,0,,atc3700_form-angle_black_2025_cil.jpg,atc3700_form-side_black_2025_cil.jpg,,atc3700_orange_modl_crop_2025_cil.jpg,,sanmar-atc3700-1085782565-black-n5onae,b024dddf-67d0-41a7-bca5-88c7f8a0ec8c
every_colour_has_front,ATC Essentials,ATC3700L,Essential Performance Lds Tee,10,10,10,0,20,10,0,0,,atc3700l_form-angle_black_2025_cil.jpg,atc3700l_form-side_black_2025_cil.jpg,,atc3700l_true-royal_modl_crop_2025_cil.jpg,,sanmar-atc3700l-1897182528-black-izv3wp,30cdb7c6-ce2c-4201-92ab-4912791de796
every_colour_has_front,ATC Essentials,ATC3700Y,Essential Performance Yth Tee,10,10,10,0,20,10,0,0,,atc3700y_form-angle_black_2025_cil.jpg,atc3700y_form-side_black_2025_cil.jpg,,atc3700y_modl_true-red_crop_2025_cil.jpg,,sanmar-atc3700y-1674162418-black-pslnj7,6d19acd1-c80e-4af8-8127-94a2e9ea401d
